GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
subscription,esprit.subscription.util,ClientIpResolver,116,0,32,0,22,0,20,0,4,0
subscription,esprit.subscription.event,UserBlockedEvent,12,0,0,0,1,0,1,0,1,0
subscription,esprit.subscription.event,UserBlockedNotificationListener,37,10,0,0,8,4,1,2,1,2
subscription,esprit.subscription.service,AdminReVerificationService.ReVerificationTokenResult,9,0,0,0,1,0,1,0,1,0
subscription,esprit.subscription.service,PlanAdvisorAiService,228,482,50,36,45,113,42,12,1,10
subscription,esprit.subscription.service,GeoEventNotifier,44,10,6,0,16,4,5,2,2,2
subscription,esprit.subscription.service,LivenessJwtService,89,15,12,2,31,4,10,1,3,1
subscription,esprit.subscription.service,EmailService,726,6,28,0,184,3,27,1,13,1
subscription,esprit.subscription.service,AdminNotificationService,301,13,6,0,82,5,15,2,12,2
subscription,esprit.subscription.service,SubscriptionService,932,339,97,19,207,81,95,11,38,9
subscription,esprit.subscription.service,GroqChatClient,141,16,14,0,26,6,9,2,2,2
subscription,esprit.subscription.service,StripeSubscriptionSyncService,115,7,22,0,35,2,13,2,2,2
subscription,esprit.subscription.service,SubscriptionExpiryScheduler,178,19,38,0,48,7,24,2,5,2
subscription,esprit.subscription.service,TutorSalaryRecommendationService,85,816,48,50,18,178,41,27,0,19
subscription,esprit.subscription.service,StripeLoyaltyCouponService.LoyaltyCouponResult,12,0,0,0,1,0,1,0,1,0
subscription,esprit.subscription.service,UserBlockService,323,9,34,0,59,4,36,1,19,1
subscription,esprit.subscription.service,UnlockChatAiProcessor,741,34,87,0,177,12,56,2,12,2
subscription,esprit.subscription.service,UnlockChatAiAnalysisService,28,10,0,0,10,4,2,2,2,2
subscription,esprit.subscription.service,AdminReVerificationService.ReVerificationRequest,21,0,0,0,1,0,1,0,1,0
subscription,esprit.subscription.service,SubscriptionAIService,3059,21,440,0,651,8,298,1,76,1
subscription,esprit.subscription.service,AdminReVerificationService,192,11,38,0,32,4,23,1,4,1
subscription,esprit.subscription.service,LoyaltyService.LoyaltyRewardResult,0,15,0,0,0,1,0,1,0,1
subscription,esprit.subscription.service,SubscriptionPauseResumeScheduler,10,10,0,0,5,4,1,2,1,2
subscription,esprit.subscription.service,UnlockChatService,891,18,86,0,202,7,65,1,22,1
subscription,esprit.subscription.service,FraudDetectionService,36,153,3,13,6,34,8,11,5,6
subscription,esprit.subscription.service,LoyaltyService,277,145,41,13,59,33,33,7,5,7
subscription,esprit.subscription.service,StripeLoyaltyCouponService,121,7,6,0,29,2,4,2,1,2
subscription,esprit.subscription.service,LivenessPaymentGuard,55,9,8,0,9,4,5,1,1,1
subscription,esprit.subscription.service,PromoTestDataInitializer,106,29,2,2,29,11,2,5,0,5
subscription,esprit.subscription.service,RevenueIntelligenceService,366,19,32,0,78,7,22,2,6,2
subscription,esprit.subscription.service,SubscriptionAIService.ScoredReason,9,0,0,0,1,0,1,0,1,0
subscription,esprit.subscription.service,PromoCodeService,879,24,144,0,202,8,96,2,24,2
subscription,esprit.subscription.service,PricingPlanService,113,3,4,0,28,1,16,1,14,1
